,Nickname,LikedByAuthor,CommentText,Date,LikesCount,isBaseComment,RepliesCount,RepliesID
0,LooxGood,False,They should allow this to be on Youtube for free.  Everyone needs to watch this.,2021-04-01 06:34:31.780829,5400,True,81,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100]"
1,Fearless Felix,False,This documentary should be watched by every living person ...,2021-05-01 06:34:31.783796,1100,True,31,"[101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131]"
2,Kristine K,False,Thank you Netflix and the directors/writers for bringing this awful human behavior to light. We can NOT survive without a healthy ocean!!! Please spread the word 🌍,2021-04-01 06:34:31.785791,373,True,6,"[132, 133, 134, 135, 136, 137]"
3,ceoleo 1987,False,"""People think of changing the world, but no one thinks of changing himself.""
- Leo Tolstoy",2021-05-01 06:34:31.786788,989,True,15,"[138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152]"
4,Marcel -,False,"I had no idea, I’m shocked. What a crazy corrupt world we live in. 10/10 highly recommend everyone to watch this documentary.",2021-04-01 06:34:31.788783,763,True,12,"[153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164]"
5,4L,False,"This is actually crazy how much we are lied to, but in the same time it’s amazing that we can live in a time where information like this can be shared to everyone in the world",2021-06-01 06:34:31.790778,122,True,5,"[165, 166, 167, 168, 169]"
6,Jesse,False,"Honestly, this is so needed. I’m glad Netflix covers topics like this 👏",2021-04-01 06:34:31.792774,3700,True,57,"[170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205, 206, 207, 208, 209, 210, 211, 212, 213, 214, 215, 216, 217, 218, 219, 220, 221, 222, 223, 224, 225, 226]"
7,Chris Lofranco,False,"I swear to Jesus Christ, this documentary should be available for watching all over the world in schools to educate the kids",2021-05-01 06:34:31.794796,1000,True,67,"[227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293]"
8,William Guzman,False,This was definitely an eye-opener. I just don’t understand how people can be so cruel. I’m never eating seafood again,2021-04-01 06:34:31.796762,286,True,16,"[294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309]"
9,Laura Ma,False,yup cried multiple times watching this. can't believe any human being could do that to other living creatures. wish people would change their hearts.,2021-05-01 06:34:31.798756,150,True,10,"[310, 311, 312, 313, 314, 315, 316, 317, 318, 319]"
10,Babs,False,This film should be made mandatory viewing in all schools and universities all over the world !,2021-04-01 06:34:31.799754,621,True,16,"[320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335]"
11,Young Il Choi,False,What a heroic and powerful documentary. It goes right to the heart of the problem - the issue of protecting life in our oceans by stopping unabashed pillage of the ecosystem at sea. Netflix would do a great service by making this documentary more easily available to the public as soon as possible. Kudos to the producers and directors of Seaspiracy.,2021-04-01 06:34:31.801749,9,True,0,[]
12,Alice,False,"""No one can do everything, but everyone can do something. """,2021-04-01 06:34:31.803743,1500,True,10,"[336, 337, 338, 339, 340, 341, 342, 343, 344, 345]"
