,Nickname,LikedByAuthor,CommentText,Date,LikesCount,isBaseComment,RepliesCount,RepliesID
0,Juan Pablo González,False,"It breaks my heart that this is the least sold Coldplay album, because I truly think that the band went on a very different direction while making this. It’s so experimental, so unique, and it almost felt like Coldplay went back to their roots for this one. It feels old, and new. I’ll always remember this album as one of the most underrated records made by Coldplay. Rock on🤘🏽",2021-11-01 07:09:27.259463,754,True,24,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]"
1,Phil Jeremy,False,"I watched this just before Covid hit the world. The whole concept is pure art, it is so mesmerising it could be a painting, it fills me with peace and gratitude.",2021-07-01 07:09:27.265477,235,True,3,"[44, 45, 46]"
2,nzmarty,False,It’s currently Christmas Day 2021. I’m revisiting my reasonably extensive world travels pre COVID. Never been to Jordan. This draws me there.  Watched Coldplay at Super Bowl 50 and this was next on my playlist. Spent possibly the best hour of my year chilling with a quiet drink lazing in the sun and letting this wash over me. Thankyou :) Merry Christmas everyone ❤️,2022-01-01 07:09:27.267441,59,True,0,[]
3,Zack Zallie,False,It hurts me then this album didn't get enough recognition than it deserves to. It's so experimental and diverse. And it released after their most commercial album to date. Kinda like Tranquility Base Hotel + Casino by Arctic Monkeys. I love both albums.,2021-06-01 07:09:27.268468,207,True,2,"[47, 48]"
4,silviac221,False,"Additional vocalists (These people deserve recognition!)

    Aluna – choir vocal
    Garine Antreassian – choir vocal
    Jocelyn 'Jozzy' Donald – choir vocal
    Nadeen Fanous – choir vocal
    Marwa Kreitem – choir vocal
    Apple Martin – choir vocal
    Moses Martin – choir vocal
    Bashar Murad – choir vocal
    Ben Oerlemans – choir vocal
    Bill Rahko – choir vocal
    Norah Shaqur – choir vocal
    Stromae – vocals",2021-09-01 07:09:27.270433,53,True,0,[]
5,Aniket Brar,False,"No artist can make me feel the way Coldplay does ,i will legit cry",2021-06-01 07:09:27.272428,270,True,5,"[49, 50, 51, 52, 53]"
6,rohan bin mustafa,False,"They sing about love, they sing about revolution, they sing about freedom, they inspire, they cheer people up, they make you cry over 'Daddy', they scatter colours on your life, they make you hymn to the weekends, they make our sunrises & sunsets more yellow, they make us dance under a sky full of stars, they make us want to go back to the start as we regret our mistakes, they make us promise we'll learn from our mistakes, they make us believe that if we never try we'll never know.

So tell me, why can't a band be nominated for nobel peace prize?",2021-03-01 07:09:27.274423,1200,True,34,"[54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87]"
7,Maria de Fátima Baptista,False,Na noite de S Valentim para quemg está  sozinha não  podia ser melhor  música.,2022-02-15 07:09:27.275421,1,True,0,[]
8,Critique SA,False,"I wish everyone listening to this, healing and inner peace. Music is powerful. Much love from South Africa",2021-07-01 07:09:27.277445,157,True,5,"[88, 89, 90, 91, 92]"
9,Star Gazing,False,"This is for me the best album you ever made. Every time I listen, it is like the first time and tears flow, like if my soul recognizes home. Thank you so much for make it public and for everything you do. Your music has been lifting me up throughout all this last year. Blesssings for your new album.",2021-06-01 07:09:27.278441,164,True,2,"[93, 94]"
10,Oliver Sutter,False,Coldplay is wonderful! The okzident meets the orient! A great gig. Greatings from switzerland❤,2022-01-01 07:09:27.280435,1,True,0,[]
11,jose gonima,False,"Coldplay ! Chris Martin! estas a la altura de los máximos exponentes del rock, del Pop , de toda la música!
que frescura ,que armonía! que música! los felicito!
reflejas alegria y gusto por la vida y deseos que todos estemos bien! Buena por esa!",2021-07-01 07:09:27.282430,22,True,0,[]
12,Ketty Shelly,False,"TIMECODES FOR SONGS
0:36 Sunrise
2:48 Church 
6:40 Trouble in Town
11:10 Broken
13:42 Daddy
18:34 WOTW/POTP
20:20 or 20:30 Arabesque
25:50 When I need a friend
27:40  or 28:00 Sunset Guns
30:07 Orphans
33:40 Eko
36:35 Cry Cry Cry
39:35 Old Friends
41:53 Bani Adam
43:22 speech of a woman
45:17 Champions of the World
49:13 Everyday life
I hope it will be helpful for someone :)
If you want to listen to some songs more than once, and you will",2021-03-01 07:09:27.283427,2700,True,74,"[95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168]"
13,Edward Stefanovich,False,What an amazing performance. Thank you so much for doing this ❤️,2022-01-01 07:09:27.284427,1,True,0,[]
14,Acoustic HIT ,False,"Music is my life I love listening to it. Sometimes I just get this unexplainable feeling while listening to some, and I dont know why- Its kind of hard to explain",2022-02-25 07:09:27.286421,1,True,0,[]
15,Hassan Zibot,False,"Thank you Coldplay for giving us, (Amman's citizens), this opportunity to have your music part of our life's culture eternally....So much love love love",2021-05-01 07:09:27.288386,90,True,2,"[169, 170]"
16,Toshiro Vidal,False,"Qué pena que no le den el verdadero aprecio que se merece. Everyday Life, sin duda alguna, el mejor álbum después de VLV. Simplemente grandioso. Thanks Coldplay ❤️",2021-11-01 07:09:27.290407,36,True,0,[]
17,OS10,False,"Amazing performance, Amazing album, one of my favorite songs church and every day life, i really loved the fact that they played the Quran recitations in the background at the end. Amazing ❤",2021-12-01 07:09:27.292399,1,True,0,[]
18,Ric B.,False,"I watched almost all the ""Sunrise"" part in live streaming exactly before entering the operating room where I underwent an invasive neurosurgical operation that 22nd of November. And Coldplay could not but be with me that day, just like all other days in my life. 
Fortunately, the operation went perfectly so that I could watch the ""Sunset"" part too 😂
Thank you Coldplay for has been the lifeline of my ""Everyday life""! ❤
Love from Italy",2021-03-01 07:09:27.293397,717,True,17,"[171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187]"
19,Mauricio Marabesi,False,Coisa linda!!!!! parabéns!!!! Obrigado a todos os Deuses por permitirem meu acesso a essa obra de arte! Obrigado!!!!,2022-01-01 07:09:27.295392,0,True,0,[]
20,Niton,False,"I realised that a few days ago. With their new record out, Everyday Life seems like the record they needed to put out first, before going more mainstream again.",2021-11-01 07:09:27.545943,31,False,0,[]
21,Riley,False,"Don’t worry, they didn’t market it as much, I don’t think Coldplay kind or expected it to sell a lot. I love this album, better than music of spheres",2021-11-01 07:09:27.547913,57,False,0,[]
22,Viko Gutierrez,False,totally agree,2021-11-01 07:09:27.548910,3,False,0,[]
23,Hakan Karakurt,False,"Seeing the Music of the Spheres, I understand that Coldplay has two sides. They can put out mainstream popular music very well but they can also produce music like Everyday Life which is masterpiece/classic level... I don't complain about how most people missed this masterpiece etc. it is cheesy. I'm rather thankful this happened and I'm here to appreciate...",2021-11-01 07:09:27.550904,16,False,0,[]
24,Wind,False,"Beautiful is often overlooked.  This band is one of the most real,raw . This shall last beyond money or time",2021-11-01 07:09:27.553897,11,False,0,[]
25,Chris George,False,Their most underrated record...it's stunning,2021-11-01 07:09:27.555892,8,False,0,[]
26,MXyloto97,False,"To be honest, this is my favorite coldplay album so far... and cry cry cry is definitely one of my top3 coldplay songs. I love the warm vibe of this album so much",2021-11-01 07:09:27.557886,9,False,0,[]
27,Jack Brennan,False,"They put this out and then took a massive step back with a head full of dreams 2, I mean music of the spheres.",2021-11-01 07:09:27.558883,1,False,0,[]
28,Thea Nava,False,"Same, I agree with u. This song's are so calm, different, they are unique and meaningful ✨🧡",2021-11-01 07:09:27.560878,6,False,0,[]
29,Corey Bingham,False,"Preach, brother. I am in full agreement. I love all their albums, but this one holds a special place in my heart. I love it.",2021-11-01 07:09:27.562872,2,False,0,[]
30,Sean Gray,False,"Don't worry, Juan Pablo. That is just the way. The most beautiful is rarely the most commercial. This album is just too sophisticated, too ""world music"" for the hordes. Don't worry about sales figures. I'm sure Chris knew that would happen, and why he was making it. It transcends numbers.  Its spirit is not for everyone, but for those who appreciate it, it is deep and very meaningful. It's earthly, human and yet ethereal. You're not alone in loving it.",2021-12-01 07:09:27.871012,4,False,0,[]
31,Simon Blunden,False,I hated this album the first time I listened to it. Can't stop listening to it now. Absolutely brilliant.,2021-12-01 07:09:27.873007,1,False,0,[]
32,Joel Thomas,False,"It breaks my heart to read this and know how true it is. But this album is so refreshing to listen to, and I'm sure that it will be one of my most favourite albums, even 20-30 years from now",2021-12-01 07:09:27.875003,0,False,0,[]
33,Gerre van der Meer,False,"Amen to that man! I've listened to Coldplay since I was 6 years old, basically when they went sky rocketing with their career. I remember their live concert in 2003 I watched on dvd over and over again. I've seen their changes through out the years with releasing newer pop albums, and somehow I accepted all the directions they went into. But, this last album they made, made me feel like going back in time and felt the nostalgia of the older vibes with more instrumental and vocally presence and less electronics! Unfortunately I've never managed to get to one of their concerts. But they'll never leave my heart!",2021-12-01 07:09:27.877028,0,False,0,[]
34,Desnelly P,False,"I kinda hope or, let's say, look forward to the world tour for this album, idc even if it means they gotta combine it with the current album or anything, just as long as there is a world concert to celebrate for this one too, I'll take the opportunity to come as I'd willingly sing along and get immersed in this!",2021-12-01 07:09:27.879019,0,False,0,[]
35,Tennessee Heckler,False,"This was there best album in my opinion. Pure spirituality. Which I guess is the reason it would never be a commercial success. The song ""Daddy"" tears me up every time I listen to it.",2021-12-01 07:09:27.880985,1,False,0,[]
36,Dwight Schrute,False,"The album debuted at number one on the UK Albums Chart with 81,000 copies sold, making it the band's eighth consecutive UK number-one album. It was also the third fastest-selling album of 2019, behind No.6 Collaborations Project and Divinely Uninspired to a Hellish Extent.[193] On 24 November 2020, Coldplay received two nominations for the 63rd Annual Grammy Awards, with one of them being Album of the Year, their first nomination in the category since Viva la Vida.[",2021-12-01 07:09:27.882006,2,False,0,[]
37,BowBear10,False,I think this is honestly their best (all around) album; there isn’t a single bad song on it.,2022-01-01 07:09:27.883977,1,False,0,[]
38,ian jopson,False,"Who knows we're Coldplay is going ,they are spinning. Like the rest of the world❤️",2022-01-01 07:09:27.884974,0,False,0,[]
39,Patricia Medina,False, @Corey Bingham  well said!  My favorite out if all their albums.,2022-01-01 07:09:27.886968,1,False,0,[]
40,Gilberto Arámbulo,False,"This is really true...Sad but true...Greetings from Venezuela, I dream of seeing them live...Maybe, some day",2022-01-01 07:09:27.888964,0,False,0,[]
41,Shamiso Banda,False,Bet you're glad they're making 5 more :D,2022-02-08 07:09:27.889961,1,False,0,[]
42,BandEadd,False,"Totally agree! I keep coming back to this album and watch this video every other day, so calming I just ADORE it.",2022-02-28 16:09:27.891956,0,False,0,[]
43,Dr. MUSIC,False,It's the best album Coldplay has ever created ❤️❤️❤️ I have listed this thousand times and can hear it millions more 😘😘😘😘,2022-02-28 22:09:27.892952,0,False,0,[]
44,Deborah Weller,False,Every thing was as normal as it could be .. my husband was still alive fit and healthy.. he was diagnosed in March with an inoperable glioblastoma grade IV brain tumour..he died 3 months later June 2020 💔💔 he loved Coldplay we had sky full of stars and adventure of a lifetime played at his funeral 😪 😪,2021-11-01 07:09:28.120153,7,False,0,[]
45,FItphil Training,False, @Deborah Weller  🙏🙏,2021-11-01 07:09:28.122143,1,False,0,[]
46,Angie Mitten,False,What a lovely comment. 😊,2022-02-15 07:09:28.123139,0,False,0,[]
47,Not To Mention Anyone,False,maybe because they don't do the promotion like others album and don't do concert or tour for this album. Also this album has such deep meaning and special for them like this is the first album that has cursing word on the song.,2021-10-01 07:09:28.337043,8,False,0,[]
48,Zack Zallie,False, @Not To Mention Anyone  the lack of marketing and creative freedom what makes this album a bit shiny compare to their last two albums,2021-10-01 07:09:28.340035,1,False,0,[]
