,CommentText,Nickname,Date,LikesCount,IsBaseComment
0, Все в .. ЕС , Juchar Juchara ,2022-02-17 02:12:00,70,True
1, Давно пора жёстче разбираться с этой публикой. , Один в поле воин кто по русски скроен! ,2022-02-17 02:15:00,155,True
2, поздно уже , Михаил Б ,2022-02-17 02:20:00,106,True
3," Хорошо. Но не меньше, а думаю даже больше нужно следить и жёстко пороть тех, кто на таможнях и не только берут взятки способствуя проходу этого потока. Наказанием вплоть до пожизненного ", Андерсен Г. ,2022-02-17 02:21:00,183,True
4, Богу в уши! , Елена Лек ,2022-02-17 02:23:00,58,True
5, Наконец-то.. , Вячеслав Г. ,2022-02-17 02:24:00,79,True
6, Ассоциацою Плодо-Овощных Рынков Москвы и Петербурга надо пошерстить в первую очередь! , Arik A. ,2022-02-17 02:25:00,119,True
7," Они все окажутся легальными ""собянинскими строителями"" ", Петя Грин ,2022-02-17 02:28:00,133,True
8, Неужели дал добро? Наконец-то! , Miya Smely ,2022-02-17 02:30:00,99,True
9," Догадайтесь с одной попытки , в какой стране топовые призывльщики , возмущальщики , нота протестники у власти . ", Никола Шарроукин ,2022-02-17 02:31:00,85,True
10, Когда толпа у нашей школы расстилает свои коврики мне НЕТ разницы легальные ли это мигранты или нет! , Петя Грин ,2022-02-17 02:32:00,1401,True
11," Эта глупая страна никак не поймёт, не мигранты работают на нас. А мы, работаем для них. ", Максим Рянзин ,2022-02-17 02:33:00,205,True
12," Если всех этих ""мигрантов"" выслать, то вам только спасибо скажут. ", Механик Ъ ,2022-02-17 02:36:00,881,True
13," Господи, неужели это свершилось. Только бы наши ""исполнители"" не замотали этот в своих кабинетах. ", Voblikov65 ,2022-02-17 02:38:00,170,True
14, Всех что ли высылать приказал? , Виктор Гармашов ,2022-02-17 02:38:00,80,True
15, Может пора уже вводить визовый режим с южными соседями? , Радари Чиполлино ,2022-02-17 02:39:00,102,True
16," Отлично. А до этого нелегальные мигранты были как-бы немного ""легальны"", да? ", Константин Русский ,2022-02-17 02:46:00,71,True
17," Зачем сразу высылать? Пускай отработают, но уже в ином статусе. ", sir expeditus ,2022-02-17 02:49:00,47,True
18, За экстремизм ? Разве они ходят с плакатами -Долой коррупцию ? , Ник Изобретатель ,2022-02-17 02:50:00,69,True
19, Неужели что то годное сказал сделать ? Давным давно это надо было сделать ! , Генадий Букин ,2022-02-17 02:50:00,58,True
20," И высылать их надо всех кто торгует на рынках!!! Толку от торгашей, не платящих ни каких налогов! Физический труд только!! ", ALEX 23 ,2022-02-17 02:51:00,92,True
