,CommentText,Nickname,Date,LikesCount,IsBaseComment
0,"У Атлетико два раза штанга в ворота Мю, могло быть счет 3:1. Атлетико больше заслуживает",Raffaell Asmanov,2022-02-24 01:01:00,100,True
1,"Raffaell, во 2 тайме атлетико катал вату, так что получили по делу, ну и + облак дыра",Musa Guseinov,2022-02-24 01:02:00,118,False
2,"Raffaell, первая штанга отскок от игрока МЮ, вторая оффсайд. Ваш скулёжь это что-то с чем-то",Руслан Горбаков,2022-02-24 01:05:00,107,False
3,"Raffaell, все орут там было офсайд",Dastan Nazarov,2022-02-24 01:06:00,0,False
4,"Raffaell, вторая крестовина оффсайд, а первая отскок от Линделофа",Ян Волосевич,2022-02-24 01:06:00,0,False
5,"Руслан, короче Атлетико мю топ 5 не входит. #уевые команды.  эх как же повезло с жеребьёвкой ",Raffaell Asmanov,2022-02-24 01:09:00,0,False
6,"Raffaell, у Гризмана офсайд был",Магомед Магомедов,2022-02-24 01:13:00,0,False
7,"Raffaell, да, согласен",Руслан Горбаков,2022-02-24 01:25:00,0,False
8,"Raffaell, .Атлетико после замен  игроков рассыпалась Думаю М.Ю  дома  выиграет их, Хотя кто его знает Они Ливерпуль   дома 3.1 обыграли.Пока только Ливерпуль и Челси уверена лидируют М сити  им вообще очень слабая команда досталась.",Алилов Магомед,2022-02-24 03:47:00,0,False
9,"Raffaell, а у МЮ 2 в створ - он больше заслуживает... Хорошая логика? Забили по одному мячу - значит большего не заслужили. Это железная логика.",Андрей Кокурин,2022-02-25 08:47:00,1,False
10,"Алилов, ну у Челси тоже как и у Сити слабый соперник попался",Умар Чернышов,2022-02-25 10:30:00,0,False
11,"Raffaell, один раз и плюс что там оффсайд у Гризмана был",Василий Харитонов,2022-02-25 14:42:00,0,False
12,"Raffaell, другая от игрока мю так что там скорее чуть атлетико чуть не отскочил",Василий Харитонов,2022-02-25 14:42:00,0,False
13,Короче пройдет в 1/4 Псж Реал под вопросомСити БаварияЛиверпульЧелси ЮвентусАяксАтлетико Мадрид,Raffaell Asmanov,2022-02-24 01:02:00,45,True
14,"Raffaell, на счёт последнего не уверен а так всё ок",Иван Панасевич,2022-02-24 01:03:00,92,False
15,"Иван, не уверен? Если бы вместо мю Ювентус или Реал можно ответку дать, нынешний мю как Милан.",Raffaell Asmanov,2022-02-24 01:04:00,5,False
16,"Raffaell, Ювентус ужасно играл против Вильярреала, второй тайм тупо отдали команде. Вильярреал более уверенно. Атлетико  так же под вопросом, Аякс может доиграться как с Тоттенхэмом когда то, свои моменты не реализовывают и фигнёй страдаю, а после пропускают.",Алекс Айтулов,2022-02-24 01:06:00,11,False
17,"Raffaell, ну не скидывай муму раньше времени  они пройдут",Иван Панасевич,2022-02-24 01:06:00,0,False
18,пройдет:РеалСитиБаварияЛиверпульЧелсиВильяреал точно доп время и скорее пенки!БенфикаАтлетико,Вячеслав Мухачёв,2022-02-24 01:06:00,4,False
19,"Иван, походу ты фан Мю ? ",Raffaell Asmanov,2022-02-24 01:07:00,0,False
20,"Raffaell, крутая логика, ставить на фаворитов",Марат Исляев,2022-02-24 01:07:00,0,False
21,"Raffaell, у МЮ есть игрок который в нужный момент вытащит может",Muslim Magomedov,2022-02-24 01:07:00,1,False
22,"Raffaell, Реал ещё парочку охватит в ответном матче, Вильяреал в полне по сила выиграть Ювентус ( Если матч смотрел то поймёшь ) Да и МЮ может победить потому что у Атлетико нет футбола у них только отскок и удар если не получилось возвращаютс на защиту",Рустам Каирбеков,2022-02-24 01:08:00,1,False
23,"Muslim, эланга? ахаха",Мартан Башаев,2022-02-24 01:08:00,0,False
24,"Мартан, я о Роналду",Muslim Magomedov,2022-02-24 01:08:00,0,False
25,"Muslim, да понял я",Мартан Башаев,2022-02-24 01:08:00,0,False
26,"Muslim, в последняя время так себе",Мартан Башаев,2022-02-24 01:09:00,0,False
27,"Рустам, я тоже уверен что Реал смогут пройдёт, но не хочу недооценивать соперника. Hala Madrid.",Raffaell Asmanov,2022-02-24 01:10:00,1,False
28,"Raffaell, Ну посмотрим что будет))) Реал щас не в той форме пару годиков ещё нужно на перестройку как я думаю",Рустам Каирбеков,2022-02-24 01:11:00,0,False
29,"Raffaell, согласен, но Реала там не будет",Валентин Овсиенко,2022-02-24 01:12:00,0,False
30,"Мартан, с вильяреалом во втором туре тоже 1-1 было трудная игра и в конце 2-1 Роналду забил, в первом так же забить не могли и Роналду открыл счёт перекинув рулли, с аталантой так же 2 забил и ничью принёс второй так же в конце, МЮ 3-2 аталанта все шло к ничьей и Роналду воткнул головой , янг бойзу тоже забил а как заменили из за травмы его, они сдулись и проиграли",Muslim Magomedov,2022-02-24 01:16:00,3,False
31,"Raffaell, а Ювентус и Аякс не под вопросам с Атлетико?)У ПСЖ больше шансов пройти, чем у Ювентуса например или из пары Атлетико- МЮ. Там вообще у этих двух пар не понятно и 50 на 50",Алекс Лексеевич,2022-02-24 02:05:00,0,False
32,"Raffaell, последние две пары 50 на 50 :)",Konstantin Mikhailov,2022-02-24 02:49:00,0,False
33,"Raffaell, а вы наверное фанат Реал Мадрид как и я",Сергей Китаев,2022-02-24 09:06:00,0,False
34,Спортинг жалко. Ман Сити уже который год подряд везёт с соперником в 1/8.,Асилбек Алимов,2022-02-24 01:03:00,70,True
35,"Асилбек, согласен им везёт",Мейрамбек Алишеров,2022-02-24 08:24:00,7,False
36,"Асилбек, первое место в группе занимают просто",Юра Петров,2022-02-25 03:20:00,5,False
37,"Юра, какой год подряд хах, второй)",Максим Волков,2022-02-25 05:51:00,1,False
38,"Мейрамбек, везёт тому, кто сам везёт! Баварии тоже фартануло, также как и Челси",Александр Колуканов,2022-02-25 08:18:00,1,False
39,"Максим, Так даже чаще чем 2 раза. Никто не виноват что они берут и побеждают, занимают первые места везде.",Юра Петров,2022-02-25 10:24:00,0,False
40,В 1/4ПСЖСИТИБАВАРИЯЛИВЕРЧЕЛСИЮВЕАЯКСМЮ,Дима Лукьянов,2022-02-24 01:17:00,40,True
41,"Дима, Нет место Юве вильяреалл, а вместо Мю Атлетико Мадрид",Миха Белоусов,2022-02-24 15:27:00,8,False
42,"Миха, это моё мнение",Дима Лукьянов,2022-02-24 16:16:00,2,False
43,"Дима, думаю место мю атлетико",Павел Гулак,2022-02-24 17:59:00,0,False
44,"Дима, Вместо юве под вопросом а так четко",Влад Сидоров,2022-02-25 01:27:00,0,False
45,"Влад, это его мнение всосался обратно",•IcepeakThx•,2022-02-25 01:32:00,0,False
46,"Павел, это его мнение,всосался обратно",•IcepeakThx•,2022-02-25 01:32:00,0,False
47,"Дима, да ну",Мади Жунисов,2022-02-25 06:34:00,0,False
48,МЮ трахнет атлетико матрасником !!!!,Руслан Овечкин,2022-02-25 08:44:00,3,False
49,"Дима, Принсипи да также будет",Назарзода Абдурахим,2022-02-25 15:11:00,0,False
50,Бавария - Зальцбург... И надеялась на победу Аякса!,Роза Кардаш,2022-02-24 01:04:00,19,True
51,"Роза, соглаасен",Камиль Лутфуллин,2022-02-24 07:58:00,0,False
52,"Роза, удивительно, что Бавария не проиграла Зальцбургу)",Влад Кочулов,2022-02-25 09:09:00,0,False
53,"Согласен Атлетико был на голову выше МЮ и заслуживал победы,но...Атлетико вообще не везет,то Ливерпуль их не вполне заслуженно растоптал то в Испанском чемпионате их имеют",Руслан Титов,2022-02-24 01:03:00,4,True
54,"Руслан, а когда Ливерпуль незаслуженно катнул их?)",Максим Сухачёв,2022-02-24 01:06:00,0,False
55,"Максим, в группе в первом матче когда Симеоне не пожал Клоппу руку..я написал не вполне заслуженно",Руслан Титов,2022-02-24 01:06:00,0,False
56,"Руслан, на голову выше?",Цырен Кракичев,2022-02-25 01:47:00,0,False
57,"Цырен, так мю в первом тайме вообще ничего не показал , стыдно было смотреть на это , а владение это катание на своей половине пол игры",Алексей Воробьёв,2022-02-25 07:03:00,0,False
58,"Цырен, игру всю пересмотри , поймешь о чем он . Не всегда стата , показывает , что команда доминировала",Иван Тухомов,2022-02-25 07:54:00,1,False
59,Честно ПСЖ,Иван Панасевич,2022-02-24 01:02:00,4,True
60,"Иван, ",Жасур Омаров,2022-02-24 06:58:00,0,False
61,"Жасур, чо ржошь",Лёха Лазарев,2022-02-25 03:25:00,1,False
62,"Лёха, над своим именем",Антон Надыкто,2022-02-25 06:25:00,0,False
63,Как надо ,Александр Тихонов,2022-02-24 07:04:00,1,True
64,"Александр, хорош",Bogdan Prokopev,2022-02-24 22:53:00,0,False
65,"Александр, жаль что не твой пресс)",Кирилл Тишонков,2022-02-25 03:05:00,3,False
66,Залцбург Бавария 1:1 удивил,Ваня Макаров,2022-02-24 01:36:00,4,True
67,"Удивил сити со своими 0:5, остальное ожидаемо",Nikita Makhaev,2022-02-24 01:14:00,3,True
68,"Nikita, хахахахаахххааах",Бексултан Жакыпжан,2022-02-24 09:24:00,0,False
69,HalaMadrid,Мартан Башаев,2022-02-24 01:07:00,0,True
70,"Мартан, почему твой реал упал в защиту?",Bogdan Prokopev,2022-02-24 22:54:00,0,False
71,"Мартан, соболезную",Лёха Лазарев,2022-02-25 03:25:00,0,False
72,"Bogdan, потому что, так надо было брат",Мартан Башаев,2022-02-25 06:48:00,0,False
73,"Лёха, судишь по одному матчу?",Мартан Башаев,2022-02-25 06:49:00,0,False
74,"Bogdan, Потому что так надо было",Muhammadali Shakhbanov,2022-02-27 23:54:00,0,False
75,В 1/4 пройдёт 100% ПСЖСитиБаварияИнтерЧелсиВильярреалАяксАтлетико,Нурсултан Сандыбаев,2022-02-25 06:18:00,2,True
76,"Нурсултан, Интер, на ЛФК поменяй, и будет, так как надо.",Влад Кочулов,2022-02-25 09:11:00,0,False
77,"Нурсултан, думаю Ювентус дома просто уничтожить вильяреала",Еламан Мукатаев,2022-02-28 08:46:00,0,False
78,"Гол на выезде в счёт идёт ещё или нет ,я не понимаю",Виктор Балашевич,2022-02-24 07:02:00,0,True
79,"Виктор, не",Адриан Богателов,2022-02-24 09:48:00,0,False
80,"Виктор, с этого года отменили",Sven Tesoro,2022-02-24 18:54:00,1,False
81,Сити ,Сергей Савицкий,2022-02-24 07:00:00,2,True
82,Клоуны убивают спорт и смешивают его с политикой,Влад Маркелов,2022-03-01 16:22:00,2,True
